[2026-04-05 23:10:48] [INFO    ] discord.client: logging in using static token
[2026-04-05 23:10:48] [DEBUG   ] discord.http: GET https://discord.com/api/v10/users/@me with None has returned 200
[2026-04-05 23:10:48] [DEBUG   ] discord.http: GET /users/@me has found its initial rate limit bucket hash (78bb8553d9352a5a2f89f9def401287a).
[2026-04-05 23:10:48] [DEBUG   ] discord.http: GET https://discord.com/api/v10/users/@me has received {'id': '1489329110697115738', 'username': 'Aurora', 'avatar': 'cf340dc599ecfd42fe2ca7ab1e322c7d', 'discriminator': '1084', 'public_flags': 0, 'flags': 0, 'bot': True, 'banner': 'a_16a113bd420763465cef0f195e35df6d', 'accent_color': None, 'global_name': None, 'avatar_decoration_data': None, 'collectibles': None, 'display_name_styles': None, 'banner_color': None, 'clan': None, 'primary_guild': None, 'mfa_enabled': False, 'locale': 'en-US', 'premium_type': 0, 'email': None, 'verified': True, 'bio': ''}
[2026-04-05 23:10:49] [DEBUG   ] discord.http: GET https://discord.com/api/v10/oauth2/applications/@me with None has returned 200
[2026-04-05 23:10:49] [DEBUG   ] discord.http: GET /oauth2/applications/@me has found its initial rate limit bucket hash (d28a133af187e91d71d96a223467ce49).
[2026-04-05 23:10:49] [DEBUG   ] discord.http: GET https://discord.com/api/v10/oauth2/applications/@me has received {'id': '1489329110697115738', 'name': 'Aurora', 'icon': None, 'description': '', 'type': None, 'bot': {'id': '1489329110697115738', 'username': 'Aurora', 'avatar': 'cf340dc599ecfd42fe2ca7ab1e322c7d', 'discriminator': '1084', 'public_flags': 0, 'flags': 0, 'bot': True, 'banner': 'a_16a113bd420763465cef0f195e35df6d', 'accent_color': None, 'global_name': None, 'avatar_decoration_data': None, 'collectibles': None, 'display_name_styles': None, 'banner_color': None, 'clan': None, 'primary_guild': None}, 'summary': '', 'is_monetized': False, 'is_verified': False, 'is_discoverable': False, 'bot_public': True, 'bot_require_code_grant': False, 'install_params': {'scopes': ['applications.commands'], 'permissions': '0'}, 'integration_types_config': {'0': {'oauth2_install_params': {'scopes': ['applications.commands'], 'permissions': '0'}}, '1': {'oauth2_install_params': {'scopes': ['applications.commands'], 'permissions': '0'}}}, 'verify_key': '98309f35add213efe443be443bcee74e92ee8e6c853fb2574a48f9ec29026251', 'flags': 8953856, 'hook': True, 'storefront_available': False, 'redirect_uris': [], 'interactions_endpoint_url': None, 'role_connections_verification_url': None, 'owner': {'id': '146790918207307777', 'username': 'vosro', 'avatar': 'b1b4832aa4ba54be293848ff65de4cda', 'discriminator': '0', 'public_flags': 128, 'flags': 128, 'banner': '2a0749532b78356ccb6ee597eb9ab39c', 'accent_color': None, 'global_name': 'Vosro', 'avatar_decoration_data': {'asset': 'a_3e1fc3c7ee2e34e8176f4737427e8f4f', 'sku_id': '1212570343567261736', 'expires_at': None}, 'collectibles': {'nameplate': {'sku_id': '1377377712028516443', 'asset': 'nameplates/nameplates_v2/spirit_moon/', 'label': 'COLLECTIBLES_NAMEPLATES_V2_SPIRIT_MOON_A11Y', 'palette': 'violet'}}, 'display_name_styles': {'font_id': 3, 'effect_id': 4, 'colors': [12790527]}, 'banner_color': None, 'clan': None, 'primary_guild': None}, 'approximate_guild_count': 2, 'approximate_user_install_count': 0, 'approximate_user_authorization_count': 0, 'interactions_event_types': [], 'interactions_version': 1, 'explicit_content_filter': 0, 'rpc_application_state': 0, 'store_application_state': 1, 'verification_state': 1, 'integration_public': True, 'integration_require_code_grant': False, 'discoverability_state': 1, 'discovery_eligibility_flags': 480, 'monetization_state': 1, 'verification_eligibility_flags': 91036, 'monetization_eligibility_flags': 181988, 'bot_approximate_guild_count': 2, 'team': None, 'internal_guild_restriction': 2, 'approved_consoles': [], 'pricing_localization_strategy': 'localized_price_sets'}
[2026-04-05 23:10:49] [DEBUG   ] discord.gateway: Created websocket connected to wss://gateway.discord.gg/
[2026-04-05 23:10:49] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': None, 's': None, 'op': 10, 'd': {'heartbeat_interval': 41250, '_trace': ['["gateway-prd-arm-us-east1-d-pr2c",{"micros":0.0}]']}}
[2026-04-05 23:10:49] [DEBUG   ] discord.gateway: Shard ID None has sent the IDENTIFY payload.
[2026-04-05 23:10:49] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': None, 's': None, 'op': 11, 'd': None}
[2026-04-05 23:10:49] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'READY', 's': 1, 'op': 0, 'd': {'v': 10, 'user_settings': {}, 'user': {'verified': True, 'username': 'Aurora', 'primary_guild': None, 'mfa_enabled': False, 'id': '1489329110697115738', 'global_name': None, 'flags': 0, 'email': None, 'discriminator': '1084', 'clan': None, 'bot': True, 'avatar': 'cf340dc599ecfd42fe2ca7ab1e322c7d'}, 'session_type': 'normal', 'session_id': '0fd68f9cf121449bc1f96961a4636d64', 'resume_gateway_url': 'wss://gateway-us-east1-d.discord.gg', 'relationships': [], 'private_channels': [], 'presences': [], 'guilds': [{'unavailable': True, 'id': '794593755260649492'}, {'unavailable': True, 'id': '1415884128229785652'}], 'guild_join_requests': [], 'geo_ordered_rtc_regions': ['seattle', 'oregon', 'santa-clara', 'us-west', 'us-central'], 'game_relationships': [], 'auth': {}, 'application': {'id': '1489329110697115738', 'flags_new': '8953856', 'flags': 8953856}, '_trace': ['["gateway-prd-arm-us-east1-d-pr2c",{"micros":232063,"calls":["id_created",{"micros":1343,"calls":[]},"session_lookup_time",{"micros":14968,"calls":[]},"session_lookup_finished",{"micros":16,"calls":[]},"sessions-prd-gcp-us-east1-d-124",{"micros":215382,"calls":["start_session",{"micros":178423,"calls":["prd-rpc-6d9b4f98b4-w2hp5",{"micros":46943,"calls":["get_user",{"micros":11961},"get_guilds",{"micros":13357},"send_scheduled_deletion_message",{"micros":20},"guild_join_requests",{"micros":191},"authorized_ip_coro",{"micros":12},"pending_payments",{"micros":1278},"apex_experiments",{"micros":104698},"sessions_experiments",{"micros":10},"played_application_ids",{"micros":2},"linked_users",{"micros":2},"ad_personalization_toggles_disabled",{"micros":2},"regional_feature_config",{"micros":3}]}]},"starting_guild_connect",{"micros":83,"calls":[]},"presence_started",{"micros":334,"calls":[]},"guilds_started",{"micros":67,"calls":[]},"lobbies_started",{"micros":0,"calls":[]},"guilds_connect",{"micros":0,"calls":[]},"presence_connect",{"micros":36439,"calls":[]},"connect_finished",{"micros":36458,"calls":[]},"build_ready",{"micros":12,"calls":[]},"clean_ready",{"micros":3,"calls":[]},"optimize_ready",{"micros":0,"calls":[]},"split_ready",{"micros":0,"calls":[]}]}]}]']}}
[2026-04-05 23:10:49] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2026-04-05 23:10:49] [INFO    ] discord.gateway: Shard ID None has connected to Gateway (Session ID: 0fd68f9cf121449bc1f96961a4636d64).
[2026-04-05 23:10:49] [DEBUG   ] discord.client: Dispatching event connect
